Coding_Interest,Mathematics_Interest,Analytical_Thinking,Problem_Solving,Creativity,Communication_Skills,Leadership,Attention_To_Detail,Research_Interest,Business_Interest,Design_Interest,Learning_New_Technology,Teamwork,Independent_Work,Risk_Taking,Career
58,51,79,75,42,83,56,65,57,82,32,68,73,75,55,Business Analyst
89,89,84,74,66,61,44,66,72,35,56,95,66,66,56,Machine Learning Engineer
75,95,84,79,58,58,55,88,94,34,29,83,63,91,57,AI Researcher
82,61,50,87,65,57,53,70,44,43,53,68,68,53,57,Software Engineer
73,63,82,68,63,88,57,83,60,44,52,63,69,56,44,Data Analyst
68,79,82,82,49,78,54,85,64,51,34,63,50,69,57,Data Analyst
80,61,79,77,52,63,52,82,68,38,47,71,86,59,62,Cloud DevOps Engineer
91,85,75,89,66,38,43,91,80,55,51,86,69,74,63,Machine Learning Engineer
54,56,95,57,58,67,60,58,83,80,43,60,63,67,58,Business Analyst
82,49,79,76,62,90,81,73,78,83,55,74,92,46,61,Product Manager
80,70,77,83,57,77,57,68,41,61,39,100,75,66,63,Cloud DevOps Engineer
64,27,48,75,97,70,7,69,61,39,91,82,81,72,54,UI UX Designer
87,86,79,86,68,53,50,74,90,48,34,84,50,94,77,AI Researcher
77,95,78,81,57,64,53,93,79,43,35,84,48,68,66,Machine Learning Engineer
76,70,67,78,75,73,39,72,68,37,53,90,55,57,62,Software Engineer
75,50,64,67,84,94,78,44,58,75,53,56,71,74,59,Product Manager
61,64,83,68,47,73,61,78,52,71,45,69,57,46,43,Data Analyst
50,48,57,71,86,77,43,67,56,56,84,74,53,63,41,UI UX Designer
64,53,80,64,53,67,54,82,51,71,45,53,85,66,46,Data Analyst
88,60,80,91,62,79,44,54,42,63,52,78,68,55,76,Software Engineer
85,94,71,79,52,58,47,60,72,47,34,90,70,67,60,Machine Learning Engineer
67,48,65,69,65,95,80,89,61,96,67,68,93,66,71,Product Manager
55,64,73,77,72,87,90,66,81,89,47,63,85,55,71,Product Manager
32,34,39,80,79,67,34,68,74,51,86,65,63,64,62,UI UX Designer
75,68,72,89,63,60,60,78,66,48,32,69,62,60,50,Software Engineer
54,55,64,76,64,58,62,87,61,46,42,73,59,75,58,Cybersecurity Analyst
56,77,79,82,38,65,57,95,62,35,32,68,48,89,74,Cybersecurity Analyst
68,48,66,78,60,62,63,67,69,76,36,87,81,66,65,Cloud DevOps Engineer
43,61,88,70,51,82,69,79,79,79,47,49,77,60,50,Business Analyst
82,78,79,74,55,44,45,65,77,56,46,72,57,50,49,Data Scientist
66,54,70,85,65,65,60,88,66,43,49,69,61,74,56,Cybersecurity Analyst
70,90,92,78,54,54,59,68,75,47,34,75,50,77,50,Data Scientist
96,79,75,75,44,72,55,73,70,57,33,91,54,62,66,Machine Learning Engineer
54,50,67,76,66,68,36,81,59,20,43,70,57,89,63,Cybersecurity Analyst
75,92,92,85,60,69,57,80,98,49,52,77,51,90,50,AI Researcher
76,51,65,66,56,57,56,69,67,59,40,93,62,82,65,Cloud DevOps Engineer
73,68,82,73,67,85,57,52,75,56,43,66,64,57,46,Data Scientist
71,57,84,92,49,70,55,68,53,33,41,86,73,75,54,Cloud DevOps Engineer
20,35,68,66,92,71,64,76,71,38,89,60,71,62,53,UI UX Designer
67,55,67,75,62,58,67,90,71,29,35,63,56,75,59,Cybersecurity Analyst
70,61,64,71,51,69,65,75,44,50,38,73,78,63,63,Cloud DevOps Engineer
69,84,86,91,72,59,65,64,85,73,54,73,59,54,58,Data Scientist
51,31,88,79,45,75,78,63,66,79,49,60,70,61,47,Business Analyst
73,70,74,86,54,64,58,69,52,49,49,78,46,66,74,Software Engineer
89,92,86,86,64,69,49,63,85,43,34,75,67,53,50,Machine Learning Engineer
50,75,75,69,73,91,83,69,61,77,50,52,93,53,34,Product Manager
44,56,79,81,70,86,86,69,48,73,37,72,79,63,69,Product Manager
90,84,92,91,71,63,56,63,82,50,28,67,36,79,64,AI Researcher
43,71,61,90,63,94,80,72,73,92,52,57,81,42,67,Product Manager
91,82,83,78,54,75,46,66,84,37,34,89,70,79,51,Machine Learning Engineer
99,86,82,79,49,62,52,66,63,35,51,82,59,81,47,Machine Learning Engineer
66,86,81,82,70,80,47,57,89,46,29,80,56,84,68,AI Researcher
94,52,70,79,54,59,73,78,61,46,50,81,91,66,70,Cloud DevOps Engineer
55,69,81,72,48,82,45,77,79,74,21,57,49,53,17,Data Analyst
82,59,84,85,52,70,47,58,52,30,50,63,54,46,51,Software Engineer
69,83,88,93,68,50,41,76,92,40,28,87,52,86,42,AI Researcher
85,86,77,78,65,55,36,76,65,36,51,79,41,74,55,Machine Learning Engineer
69,51,69,66,60,81,82,66,64,90,38,66,57,74,62,Business Analyst
62,61,72,84,57,49,42,73,58,53,50,77,63,79,69,Cybersecurity Analyst
36,59,79,57,40,52,52,88,70,69,35,45,49,51,39,Data Analyst
85,62,89,87,60,57,59,74,51,63,31,80,74,72,50,Cloud DevOps Engineer
57,48,72,56,84,80,52,70,54,48,95,64,75,69,46,UI UX Designer
67,49,75,69,56,83,57,62,61,38,55,94,77,57,54,Cloud DevOps Engineer
87,79,82,72,60,74,62,78,82,51,27,70,60,77,58,Data Scientist
49,66,72,65,42,80,73,83,76,77,48,56,85,70,54,Business Analyst
62,66,80,73,42,71,54,71,69,57,46,72,73,62,44,Data Analyst
82,74,69,83,57,61,58,58,81,38,33,87,72,71,58,Software Engineer
68,81,80,86,55,51,43,86,63,27,29,69,65,80,61,Cybersecurity Analyst
67,60,68,95,64,47,57,51,71,43,44,89,53,52,46,Software Engineer
70,83,68,80,43,51,50,81,81,55,42,66,57,72,41,Data Scientist
69,62,79,78,53,60,35,69,64,44,55,69,75,66,49,Software Engineer
74,69,82,74,49,64,60,78,83,50,49,74,63,62,50,Data Scientist
52,43,61,59,88,62,44,79,54,41,92,68,66,64,59,UI UX Designer
68,30,53,64,79,84,54,69,62,49,88,54,55,85,41,UI UX Designer
58,70,75,61,53,67,58,81,62,50,64,61,71,54,51,Data Analyst
52,61,71,82,48,53,69,92,35,57,37,66,49,73,56,Cybersecurity Analyst
82,98,92,74,53,61,70,69,67,50,50,78,60,74,32,Data Scientist
54,74,79,89,56,59,51,77,40,79,52,67,66,50,43,Data Analyst
78,65,86,84,57,44,49,83,55,30,42,75,47,75,72,Cybersecurity Analyst
71,83,80,87,64,55,40,57,80,61,49,71,52,62,67,Data Scientist
71,70,85,70,45,65,69,61,60,44,46,78,84,64,49,Cloud DevOps Engineer
40,52,65,69,65,90,67,83,65,83,39,39,82,58,66,Business Analyst
58,65,65,68,59,90,91,60,57,80,43,59,87,46,66,Product Manager
66,70,67,74,44,66,54,78,61,44,48,84,78,52,57,Cloud DevOps Engineer
56,74,74,67,37,61,40,89,54,66,41,51,63,67,36,Data Analyst
68,78,90,75,68,62,50,72,75,51,25,70,58,63,59,Data Scientist
76,58,88,87,71,67,41,60,65,36,52,76,62,71,56,Software Engineer
76,70,84,64,58,69,54,75,61,61,37,69,51,67,55,Data Analyst
72,71,65,79,60,60,40,91,66,35,21,77,80,73,64,Cybersecurity Analyst
46,29,70,57,44,93,53,64,54,100,44,69,73,40,67,Business Analyst
48,59,75,68,50,78,49,71,70,57,44,66,67,72,53,Data Analyst
63,66,82,77,52,38,44,78,71,43,35,72,50,91,74,Cybersecurity Analyst
49,65,93,77,70,76,59,71,62,89,38,59,81,60,52,Business Analyst
44,69,95,79,45,86,57,69,64,84,46,55,80,53,65,Business Analyst
66,62,76,83,50,56,60,87,64,31,51,67,67,81,50,Cybersecurity Analyst
85,80,84,83,44,78,46,69,76,65,25,88,81,69,46,Machine Learning Engineer
50,60,81,87,54,62,54,80,63,70,57,62,80,70,41,Data Analyst
49,58,82,69,61,88,69,71,61,83,37,62,77,59,48,Business Analyst
85,85,80,82,60,68,39,76,76,50,48,86,66,74,53,Machine Learning Engineer
45,61,86,80,81,81,63,76,60,78,36,29,78,43,43,Business Analyst
29,69,82,59,55,74,58,63,72,58,52,69,57,68,44,Data Analyst
52,40,58,66,88,62,33,69,57,41,94,63,85,60,56,UI UX Designer
89,58,77,92,33,52,58,63,64,42,46,77,76,67,55,Software Engineer
65,63,70,66,58,78,48,94,58,47,45,72,55,85,79,Cybersecurity Analyst
40,49,84,74,38,74,68,77,57,81,36,72,73,52,40,Business Analyst
92,83,77,73,78,55,49,68,76,57,49,82,65,70,27,Software Engineer
70,93,82,67,61,59,58,78,84,43,33,75,46,82,91,AI Researcher
77,52,90,73,60,69,44,87,66,74,45,57,51,69,52,Data Analyst
62,59,80,76,57,60,62,90,50,58,57,61,45,49,46,Data Analyst
53,72,62,80,74,76,86,66,61,84,54,66,84,62,51,Product Manager
15,60,68,58,99,59,62,58,48,37,86,65,61,47,60,UI UX Designer
31,29,64,54,87,81,51,69,59,47,92,80,72,83,60,UI UX Designer
86,67,78,92,56,58,68,72,55,53,40,74,67,48,35,Software Engineer
70,78,86,92,68,75,42,73,79,59,56,70,58,73,37,Data Scientist
90,62,77,77,58,73,51,72,64,65,58,84,87,41,74,Cloud DevOps Engineer
59,49,67,58,64,75,96,57,70,95,60,64,73,50,79,Product Manager
75,63,73,73,63,69,47,78,71,31,26,63,54,71,45,Cybersecurity Analyst
55,56,73,76,66,78,81,90,66,79,48,49,65,43,46,Business Analyst
45,61,69,83,65,78,79,62,65,79,62,58,80,47,57,Product Manager
40,66,75,74,65,88,62,74,65,91,53,72,59,52,62,Business Analyst
31,36,66,77,92,65,57,78,61,47,90,57,90,66,60,UI UX Designer
87,96,86,78,57,50,49,80,80,73,51,87,68,66,47,Machine Learning Engineer
53,62,85,65,69,86,67,76,72,78,52,76,77,56,75,Business Analyst
55,72,77,55,50,68,48,81,62,64,32,66,47,44,55,Data Analyst
81,86,77,89,65,68,37,75,69,36,36,92,59,82,63,Machine Learning Engineer
87,80,74,86,57,74,45,81,60,34,46,73,73,59,48,Software Engineer
77,96,76,81,61,64,70,59,82,55,39,91,70,56,75,Machine Learning Engineer
77,87,82,82,61,59,44,87,84,44,27,71,48,81,62,AI Researcher
65,72,63,98,50,84,48,78,62,58,49,81,68,65,60,Cloud DevOps Engineer
